Source:,C:\Users\moogtron 4k\Desktop\projects\ga tech soundlight sculpture\harmonic_content_code\jack_pcb\jack_pcb.sch,,,,,
Date:,Tue 11/02/2021 12:24:58 PM,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,132,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,J3,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J4,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J5,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J6,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J7,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J8,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J9,Conn_02x16_Odd_Even,Connector_Generic:Conn_02x16_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical,~
,,J10,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J11,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J12,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J13,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J14,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J15,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J16,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J17,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J18,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J19,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J20,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J21,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J22,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J23,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J24,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J25,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J26,Conn_02x25_Odd_Even,Connector_Generic:Conn_02x25_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical,~
,,J27,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J28,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J29,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J30,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J31,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J32,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J33,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J34,PJ301M-12,eurocad:PJ301M-12,Eurocad:PJ301M-12,
,,J35,DIN-5,Connector:DIN-5,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf
,,J36,DIN-5,Connector:DIN-5,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf
,,J37,DIN-5,Connector:DIN-5,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf
,,J38,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J39,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J40,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J41,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J42,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J43,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J44,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J45,RJ45,Connector:RJ45,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,~
,,J46,USB_B,Connector:USB_B,Connector_USB:USB_B_TE_5787834_Vertical, ~
